Model, Form, Style, Pattern, Controls, Covered controls, Percent covered controls, Pattern Version, Unspecified count, Custom count
UnitOfMeasure,UnitOfMeasureLookup,Lookup,LookupTab,16,16,100.00%,1,0,0
UnitOfMeasure,UnitOfMeasure,SimpleListDetails,SimpleListDetails,30,30,100.00%,1.3,0,0
Foundation,PdsCustRebateGroup,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Tutorial,Tutorial_ControlForm,Auto,,19,0,0.00%,,1,0
Foundation,VendInvoiceInfoListPagePreviewPane,FormPart,FormPartFactboxCard,12,12,100.00%,UX7 1.0,0,0
Foundation,BudgetTransactionInquiry,SimpleList,Custom,40,0,0.00%,,0,1
Foundation,PdsCostBasis,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
UnitOfMeasure,UnitOfMeasureTranslation,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,JmgFlexBalance,SimpleList,SimpleList,17,17,100.00%,1.1,0,0
TestEssentials,HierarchicalGridTest,Auto,Custom,2,0,0.00%,,0,1
Foundation,FactureCorrectedAmounts_RU,Auto,Task,58,58,100.00%,1.2,0,0
Foundation,RDeferralsProfileTrans,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
Foundation,BudgetTransactionHeaderWorkflowDropDialog,DropDialog,Custom,6,0,0.00%,,0,1
Foundation,FactureEditLines_RU,Auto,Custom,226,148,65.49%,,0,1
Foundation,SalesLineDeliveryDetails,Dialog,Custom,153,66,43.14%,,0,1
Foundation,JmgFeedbackWizard,Dialog,Dialog,39,39,100.00%,1.2,0,0
Foundation,PdsCustSellableDays,SimpleList,SimpleList,28,28,100.00%,1.1,0,0
Foundation,PdsFreightGroup,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
TestEssentials,TestFormLauncher,Auto,,15,0,0.00%,,1,0
Foundation,FactureJourLookup_RU,Lookup,LookupGridOnly,6,6,100.00%,1.1,0,0
Foundation,VendInvoiceInfoSubTableLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,JmgGroupApprove,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
UnitOfMeasure,UnitOfMeasureWizard,Wizard,Wizard,43,43,100.00%,1.1,0,0
Foundation,BudgetTransactionLineBudgetControlStatisticsPart,FormPart,FormPartFactboxCard,5,5,100.00%,UX7 1.0,0,0
Foundation,PdsHistoryInventDisposition,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
TestEssentials,WORSysMailerSMTPClientTST,Auto,Custom,17,0,0.00%,,0,1
Foundation,JmgGroupCalc,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,FactureOperationTypeCodesLookup_RU,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,BudgetTransactionLineReplicate,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,PdsDispositionMaster,SimpleListDetails,SimpleListDetails-Grid,29,29,100.00%,1.4,0,0
Foundation,VendInvoiceJourCountChart,FormPart,HubPartChart,2,2,100.00%,1,0,0
Foundation,RDeferralsTable,DetailsFormMaster,DetailsMaster,49,49,100.00%,1.4,0,0
Foundation,SalesLineOpenOrder,Auto,Task,49,49,100.00%,1.2,0,0
Foundation,PdsInventBatchBestBefore,SimpleList,SimpleList,47,47,100.00%,1.1,0,0
Foundation,BudgetTransactionLineWorkflowDropDialog,DropDialog,Custom,6,0,0.00%,,0,1
SourceDocumentation,AccountingDistribution,SimpleListDetails,Custom,50,0,0.00%,,0,1
Subledger,AccountingEventLookup,Lookup,LookupGridOnly,5,5,100.00%,1.1,0,0
SourceDocumentation,DigitalCertificateLookup,Lookup,LookupGridOnly,7,7,100.00%,1.1,0,0
Foundation,FactureTaxCorrection_RU,Dialog,Dialog,135,12,8.89%,1.2,3,0
Foundation,VendInvoiceJourLookup_MY,Lookup,LookupGridOnly,8,8,100.00%,1.1,0,0
Foundation,FactureJournal_RU,Auto,Custom,307,2,0.65%,,0,1
